class,x,y,name,prediction,dist
0,0.00090003,0.602762,item-1,0.0,0.8958834315644312
0,0.00183046,0.519435,item-2,0.0,0.9297384188985265
0,0.00241566,0.73422,item-3,0.0,0.8534574856164516
1,0.00255716,0.357847,item-4,1.0,1.0127348843319193
0,0.00354946,0.90909,item-5,0.0,0.8274636489486482
0,0.00574744,0.804348,item-6,0.0,0.8359235577223755
0,0.00593913,0.689691,item-7,0.0,0.8619660272331021
0,0.00629783,0.0751743,item-8,0.0,1.1954768400714666
0,0.00635004,0.480862,item-9,0.0,0.9439128864455033
1,0.00736451,0.40563,item-10,1.0,0.981951170682005
0,0.00942659,0.801707,item-11,0.0,0.8327326785097412
0,0.0102581,0.69826,item-12,0.0,0.8553626287013071
1,0.0103316,0.295608,item-13,1.0,1.0437009036552378
0,0.011506,0.0259697,item-14,0.0,1.2281108013303563
0,0.0116241,0.543177,item-15,0.0,0.9103932026860756
1,0.0120126,0.352302,item-16,1.0,1.0082493235688086
1,0.013842,0.132582,item-17,1.0,1.1491943494505183
0,0.0152121,0.0261629,item-18,0.0,1.2254984842040484
0,0.0175378,0.527014,item-19,0.0,0.9123022199937036
1,0.017891,0.372972,item-20,1.0,0.9914943582814781
0,0.0189327,0.0869353,item-21,0.0,1.1782474666242997
0,0.019501,0.963281,item-22,0.0,0.8111879856266364
1,0.0200887,0.229847,item-23,1.0,1.078258302451268
1,0.0206536,0.364899,item-24,1.0,0.9938911501478218
1,0.0219018,0.289501,item-25,1.0,1.038456457635485
0,0.0229808,0.48474,item-26,0.0,0.9275148612023637
0,0.0234493,0.73275,item-27,0.0,0.8334340131168695
1,0.0239344,0.374872,item-28,1.0,0.9854548920986491
0,0.0248984,0.437679,item-29,1.0,0.9499319236331413
0,0.025564,0.641973,item-30,,0.858657815795093
1,0.026436,0.153355,item-31,,1.125644187076005
1,0.0288874,0.208085,item-32,,1.0862295685404444
0,0.0316627,0.576524,item-33,,0.8780480246066783
0,0.0318195,0.54579,item-34,,0.8911115042205717
0,0.0323533,0.0018208,item-35,,1.2326133185374601
0,0.0328127,0.571657,item-36,,0.879037111586701
0,0.0328591,0.569243,item-37,,0.8800126804967131
0,0.0337098,0.100309,item-38,,1.1583749053228147
0,0.0360746,0.475829,item-39,,0.9206117588301597
0,0.0368234,0.784376,item-40,,0.8089171955270578
1,0.0383854,0.428619,item-41,,0.9434148281757925
1,0.0426732,0.295536,item-42,,1.0185315862385615
0,0.0441679,0.915799,item-43,,0.7866320277068625
0,0.0442348,0.981219,item-44,,0.7871710018710293
0,0.0451503,0.811084,item-45,,0.7959495681396467
0,0.0454974,0.749293,item-46,,0.8080170572404769
1,0.0455616,0.336639,item-47,,0.9906940252569206
1,0.0481215,0.254314,item-48,,1.0410499709525236
0,0.0492836,0.920627,item-49,,0.7813768616577791
0,0.0497026,0.663495,item-50,,0.8286154365409566
0,0.0514817,0.057933,item-51,,1.1776655040860668
0,0.0525221,0.990002,item-52,,0.7793948951049205
1,0.0528662,0.325683,item-53,,0.9916803744356547
0,0.0544531,0.508893,item-54,,0.8882482114532008
0,0.0550319,0.942577,item-55,,0.7753582839858036
1,0.0550632,0.290714,item-56,,1.0120725044232948
0,0.0570686,0.942098,item-57,,0.7733208961564145
0,0.0570987,0.610827,item-58,,0.8409154203004545
0,0.0571784,0.584411,item-59,,0.8515683893107823
0,0.057488,0.459958,item-60,,0.9104894252527045
0,0.0627216,0.468079,item-61,,0.9017635696077769
0,0.0627929,0.820085,item-62,,0.7770958406169794
0,0.063473,0.476637,item-63,,0.8966601213843516
0,0.0639467,0.726174,item-64,,0.796039849211891
0,0.0643229,0.530519,item-65,,0.8692147167289622
0,0.0662669,0.655057,item-66,,0.8159491350160315
1,0.0670819,0.169476,item-67,,1.0854628586121269
1,0.067801,0.375448,item-68,,0.9495476169313469
0,0.0687299,0.850158,item-69,,0.7670835917348318
0,0.0692773,0.827014,item-70,,0.7696326962524982
0,0.0694482,0.529559,item-71,,0.8651573999415598
1,0.0694753,0.287431,item-72,,1.0032110099718254
0,0.0698991,0.783319,item-73,,0.776709884970579
0,0.0704581,0.649504,item-74,,0.8139989952689193
1,0.0720587,0.43996,item-75,,0.9090260923329374
0,0.0742987,0.734311,item-76,,0.7838907472824833
0,0.0749379,0.567807,item-77,,0.8427010897798876
0,0.0753305,0.884346,item-78,,0.757197608156715
1,0.0757728,0.34305,item-79,,0.9629409903449121
0,0.0774742,0.491868,item-80,,0.8768122452241643
0,0.0778155,0.771962,item-81,,0.7713726858673763
0,0.078415,0.148516,item-82,,1.0926333781795248
1,0.0799681,0.412302,item-83,,0.9180892623034049
0,0.0819409,0.571864,item-84,,0.8346255990308529
0,0.0823026,0.114486,item-85,,1.1149554590031658
0,0.0830319,0.69443,item-86,,0.7870507773863197
1,0.0839696,0.277441,item-87,,0.9988729331888817
0,0.0849513,0.792904,item-88,,0.7600497310737568
0,0.0852329,0.942662,item-89,,0.7451574913850159
0,0.0861039,0.0431892,item-90,,1.1663718189144703
1,0.0868664,0.204082,item-91,,1.0469962924054508
0,0.087862,0.803811,item-92,,0.7551345103026348
0,0.09102,0.17427,item-93,,1.0653083537009367
0,0.0918524,0.685283,item-94,,0.7816272009472035
1,0.0919644,0.34809,item-95,,0.9471412034692399
1,0.0925132,0.271486,item-96,,0.9964973687479762
0,0.0937759,0.722654,item-97,,0.7683559264531055
0,0.0949849,0.896488,item-98,,0.7367634091435392
0,0.096027,0.867149,item-99,,0.7380883120419941
0,0.0961373,0.136636,item-100,,1.089258550734806
0,0.0967637,0.730795,item-101,,0.7632074443616821
1,0.0971448,0.433296,item-102,,0.8919842365813647
1,0.0981199,0.302829,item-103,,0.9714749905498391
0,0.100439,0.515192,item-104,,0.8451796042262261
1,0.103933,0.484532,item-105,,0.8580816255089023
0,0.103937,0.985724,item-106,,0.7278138060713056
0,0.105805,0.852455,item-107,,0.7300010639341562
0,0.106818,0.0747932,item-108,,1.1288285332637726
0,0.10836,0.779244,item-109,,0.7399748301969467
1,0.108643,0.387328,item-110,,0.9097889050499572
0,0.109194,0.0346184,item-111,,1.1584698164207645
0,0.11019,0.593743,item-112,,0.7996425795578923
1,0.112344,0.232159,item-113,,1.0091377309336917
1,0.113144,0.361945,item-114,,0.9219556566093622
0,0.11351,0.778345,item-115,,0.7351492486359488
1,0.114418,0.45717,item-116,,0.8642458050491191
0,0.114588,0.800606,item-117,,0.7294819607481736
1,0.11481,0.285933,item-118,,0.9702870599786437
1,0.116734,0.483432,item-119,,0.8478650500669315
1,0.117042,0.491461,item-120,,0.8432964481900775
0,0.120239,0.917307,item-121,,0.7105525664755564
0,0.120649,0.920144,item-122,,0.7100529203404491
1,0.120856,0.325722,item-123,,0.9392961876261395
1,0.120895,0.314703,item-124,,0.9465240585410389
1,0.121493,0.24644,item-125,,0.9926004061756172
1,0.12188,0.382578,item-126,,0.902257237054378
0,0.12267,0.974407,item-127,,0.7084965964533633
0,0.123029,0.766011,item-128,,0.7287366219156274
0,0.123206,0.162017,item-129,,1.052268134799301
0,0.126948,0.209777,item-130,,1.0148108338532853
0,0.129186,0.825838,item-131,,0.7106328972577896
1,0.129454,0.336816,item-132,,0.9255357837820211
0,0.130022,0.82941,item-133,,0.7092361088051004
0,0.130599,0.9222,item-134,,0.700048484452327
0,0.132563,0.585789,item-135,,0.7831307322312158
1,0.134154,0.270123,item-136,,0.9670144999047325
1,0.134648,0.315153,item-137,,0.9359582959950726
0,0.138506,0.0633508,item-138,,1.1177477038573775
0,0.139083,0.168067,item-139,,1.0371463925893007
1,0.14088,0.447777,item-140,,0.8478859764767902
1,0.141732,0.395607,item-141,,0.878603546472469
0,0.143579,0.803907,item-142,,0.7004023024840795
1,0.145837,0.274517,item-143,,0.9555663230404261
0,0.146277,0.573708,item-144,,0.7765795314969357
1,0.146644,0.501911,item-145,,0.8127123597841982
0,0.147727,0.613173,item-146,,0.7573926013930953
0,0.14804,0.602117,item-147,,0.7619661139617694
0,0.148089,0.638327,item-148,,0.7465109985961359
1,0.149535,0.369159,item-149,,0.8892796215392548
0,0.15031,0.176921,item-150,,1.0230657187307177
