class,x,y,name,prediction
0,0.41177,0.00376618,item-401,
0,0.414821,0.87339,item-402,
1,0.415968,0.216877,item-403,
1,0.417035,0.169589,item-404,
0,0.417526,0.850142,item-405,
0,0.418045,0.851148,item-406,
1,0.418178,0.810591,item-407,
0,0.41858,0.48138,item-408,
1,0.420129,0.679426,item-409,
0,0.421586,0.963784,item-410,
1,0.4221,0.566037,item-411,
1,0.422669,0.802203,item-412,
1,0.423772,0.0330933,item-413,
1,0.424288,0.129171,item-414,
1,0.424824,0.111023,item-415,
0,0.425359,0.90297,item-416,
1,0.425415,0.222749,item-417,
0,0.42561,0.882675,item-418,
0,0.427204,0.382895,item-419,
1,0.427386,0.549037,item-420,
0,0.427638,0.414745,item-421,
1,0.429773,0.604145,item-422,
1,0.430351,0.670986,item-423,
1,0.431549,0.219793,item-424,
0,0.43271,0.406552,item-425,
1,0.432845,0.294327,item-426,
1,0.433626,0.562335,item-427,
1,0.434507,0.702317,item-428,
0,0.435806,0.365706,item-429,
1,0.4403,0.68416,item-430,
1,0.44084,0.739513,item-431,
1,0.443622,0.297404,item-432,
0,0.444348,0.00219691,item-433,
1,0.44522,0.772706,item-434,
1,0.445904,0.631628,item-435,
1,0.446273,0.297671,item-436,
0,0.447323,0.00496066,item-437,
1,0.447704,0.056232,item-438,
1,0.448141,0.33145,item-439,
1,0.448773,0.683571,item-440,
1,0.449781,0.74199,item-441,
1,0.450909,0.575179,item-442,
1,0.454079,0.578379,item-443,
1,0.454718,0.787231,item-444,
1,0.458033,0.0995305,item-445,
1,0.459649,0.0999234,item-446,
0,0.460426,0.411272,item-447,
0,0.460966,0.47864,item-448,
1,0.46382,0.66615,item-449,
0,0.46393,0.526491,item-450,
1,0.463966,0.667432,item-451,
1,0.46483,0.17124,item-452,
1,0.466454,0.141178,item-453,
1,0.467444,0.344654,item-454,
1,0.467708,0.590505,item-455,
1,0.467942,0.210608,item-456,
1,0.468433,0.616424,item-457,
0,0.469663,0.437502,item-458,
1,0.470607,0.151968,item-459,
0,0.471791,0.042858,item-460,
0,0.472491,0.0457851,item-461,
1,0.472578,0.72601,item-462,
1,0.473251,0.214593,item-463,
1,0.474401,0.859462,item-464,
1,0.474902,0.740477,item-465,
1,0.475221,0.610785,item-466,
0,0.47536,0.465347,item-467,
0,0.476845,0.897766,item-468,
1,0.478262,0.29802,item-469,
1,0.479675,0.300688,item-470,
1,0.480962,0.699643,item-471,
1,0.481156,0.691524,item-472,
1,0.481506,0.37409,item-473,
1,0.483308,0.70618,item-474,
1,0.483632,0.23912,item-475,
1,0.484834,0.268048,item-476,
1,0.484905,0.660997,item-477,
1,0.484991,0.799075,item-478,
1,0.485212,0.876345,item-479,
1,0.48573,0.881592,item-480,
1,0.485767,0.279501,item-481,
0,0.485997,0.0115368,item-482,
1,0.487568,0.235879,item-483,
1,0.489283,0.857356,item-484,
0,0.49073,0.538809,item-485,
0,0.492092,0.0286998,item-486,
0,0.492633,0.437736,item-487,
1,0.492787,0.748654,item-488,
1,0.493826,0.14198,item-489,
1,0.494367,0.196743,item-490,
0,0.496426,0.961241,item-491,
1,0.497407,0.825462,item-492,
1,0.498142,0.261067,item-493,
1,0.499048,0.874262,item-494,
0,0.501602,0.922264,item-495,
1,0.501719,0.76439,item-496,
0,0.502277,0.973377,item-497,
0,0.503647,0.508634,item-498,
0,0.506008,0.92385,item-499,
1,0.506707,0.722296,item-500,
1,0.507334,0.705331,item-501,
1,0.50978,0.823042,item-502,
1,0.510711,0.321885,item-503,
0,0.511492,0.027169,item-504,
1,0.511843,0.166448,item-505,
1,0.515353,0.412356,item-506,
1,0.51541,0.879032,item-507,
1,0.516521,0.68877,item-508,
1,0.516593,0.823871,item-509,
0,0.51669,0.515547,item-510,
1,0.518476,0.279168,item-511,
0,0.519709,0.0804659,item-512,
0,0.519888,0.616282,item-513,
1,0.520536,0.861316,item-514,
1,0.521241,0.85855,item-515,
0,0.521327,0.468485,item-516,
0,0.521524,0.940202,item-517,
1,0.521662,0.209307,item-518,
1,0.522032,0.122831,item-519,
1,0.522275,0.32234,item-520,
1,0.523543,0.263693,item-521,
0,0.523778,0.542121,item-522,
1,0.523916,0.680485,item-523,
1,0.525233,0.84944,item-524,
1,0.526012,0.220217,item-525,
0,0.530869,0.620112,item-526,
1,0.532761,0.918323,item-527,
1,0.533314,0.251048,item-528,
1,0.533601,0.431427,item-529,
0,0.533912,0.0318134,item-530,
1,0.534046,0.667407,item-531,
1,0.535191,0.904272,item-532,
0,0.535793,0.604939,item-533,
0,0.53654,0.492965,item-534,
1,0.537298,0.400751,item-535,
0,0.539333,0.999847,item-536,
0,0.53951,0.585328,item-537,
1,0.541214,0.719744,item-538,
0,0.542671,0.494549,item-539,
1,0.545512,0.224432,item-540,
1,0.545673,0.724451,item-541,
1,0.545693,0.195445,item-542,
0,0.546368,0.550722,item-543,
0,0.546634,0.997374,item-544,
0,0.548399,0.574906,item-545,
1,0.548419,0.78912,item-546,
1,0.54846,0.173786,item-547,
0,0.549552,0.0928911,item-548,
0,0.549585,0.594572,item-549,
1,0.5504,0.919664,item-550,
0,0.550432,0.57671,item-551,
0,0.550443,0.61045,item-552,
0,0.550644,0.0290376,item-553,
0,0.551033,0.982606,item-554,
1,0.551924,0.309714,item-555,
1,0.552462,0.70554,item-556,
1,0.553535,0.351856,item-557,
0,0.553817,0.569286,item-558,
0,0.553888,0.000969887,item-559,
0,0.554342,0.0321629,item-560,
1,0.554882,0.69664,item-561,
0,0.555279,0.0280907,item-562,
1,0.555574,0.851988,item-563,
0,0.555753,0.631564,item-564,
